"Zip_Code","City","State","Population","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz","No_Diploma_Rank","Vacancy_Rank","No_Job_Rank","Poverty_Rank","Med_Inc_Rank","Chg_Job_Rank","Chg_Biz_Rank","Avg_Rank","DCI_Rank","DCI_Percentile"
"Z01057","Monson","MA",8712,8.3,3.9,23.5,8.8,99.4,-8.5,-6.8,8604,3792,8000,7650,11119,19407,21204,11396.5714285714,10402,39.8
"Z01060","Northampton","MA",15229,4.59999999999999,5.5,22.6,19,75.3,3.3,0.799999999999997,3087,7172,6974,18874,20433,13733,13888,12023,11465,43.9
"Z01062","Florence","MA",11029,6.3,4.1,24.6,14.3,99.1,13.7,3.8,5436,4146,9269,14408,11222,7704,10912,9013.85714285714,6585,25.2
"Z01068","Oakham","MA",1803,6.90000000000001,2,23.2,5.7,117.1,-40.4,-10.3,6332,1166,7636,3723,6273,23031,22806,10138.1428571429,8392,32.1
"Z01069","Palmer","MA",8976,10.2,6.3,26.6,6.3,79,-0.5,0.799999999999997,11504,9133,11524,4438,19066,16005,13900,12224.2857142857,11791,45.1
"Z01070","Plainfield","MA",565,5.59999999999999,2.9,19.3,9.9,81.6,-52.4,-22.2,4398,2084,3503,9035,18083,23298,25068,12209.8571428571,11765,45
"Z01071","Russell","MA",1318,6.3,8.7,16.9,2.5,107.4,-30.4,-13,5437,14189,1817,662,8604,22520,23619,10978.2857142857,9726,37.2
"Z01072","Shutesbury","MA",1465,4.7,8.1,19,9.9,101,-28.6,18.8,3215,13024,3300,9032,10576,22421,2841,9201.28571428571,6874,26.3
"Z01073","Southampton","MA",6022,7.3,1.9,14.2,5.4,116.5,14.4,9.8,6964,1102,762,3281,6405,7358,6178,4578.57142857143,1063,4.1
"Z01075","South Hadley","MA",17781,7.7,3.2,22.4,9.9,87.9,6.3,1,7650,2547,6722,9064,15508,11812,13689,9570.28571428571,7500,28.7
