Zip_Code,Housing_Units,Total_Vacant,For_rent,Rented_not_oc,For_sale,Sale_not_oc,Seasonal,Migrant_worker,Other_vacant
Z01520,5513,335,25,35,92,0,0,0,183
Z01521,1443,445,0,0,24,33,357,0,31
Z01523,2389,128,0,0,0,42,86,0,0
Z01524,2802,179,0,0,57,37,43,0,42
Z01527,5487,325,110,80,4,0,36,0,95
Z01529,1127,66,14,0,11,13,3,0,25
Z01531,423,31,6,0,6,0,0,0,19
Z01532,5253,145,32,0,47,0,0,0,66
Z01534,2323,186,29,0,35,35,0,0,87
Z01535,2204,384,67,0,31,9,47,0,230
Z01536,2966,223,28,0,31,89,0,0,75
Z01537,932,104,0,0,0,0,0,0,104
Z01540,4444,224,30,0,0,27,16,0,151
Z01541,1307,55,0,0,0,0,0,0,55
Z01542,798,25,0,0,0,0,0,0,25
Z01543,3194,296,0,0,120,0,134,0,42
Z01545,13758,919,339,102,74,86,0,30,288
Z01550,7466,704,271,17,61,55,14,0,286
Z01560,1901,196,21,0,66,76,0,0,33
Z01561,96,38,38,0,0,0,0,0,0
Z01562,5281,625,201,38,0,31,91,0,264
Z01564,2821,73,0,0,0,0,30,0,43
Z01566,2624,228,33,0,28,0,50,0,117
Z01568,2912,279,40,0,48,46,0,0,145
Z01569,5006,182,13,0,37,48,0,0,84
Z01570,7653,984,238,95,71,18,310,0,252
Z01571,4384,347,63,0,63,58,0,0,163
Z01581,7337,345,171,0,33,75,44,7,15
Z01583,2240,97,25,0,0,24,18,0,30
Z01585,2072,192,0,0,50,0,62,0,80
Z01588,4003,251,90,0,42,33,0,0,86
Z01590,3372,279,90,0,0,28,100,0,61
