Zip_Code,City,State,Population,No_Diploma,Vacancy,No_Job,Poverty,Med_Inc,Chg_Job,Chg_Biz,No_Diploma_Rank,Vacancy_Rank,No_Job_Rank,Poverty_Rank,Med_Inc_Rank,Chg_Job_Rank,Chg_Biz_Rank,Avg_Rank,DCI,White,Black,Asian,Hispanic
48083,Troy,MI,23307,10.4,3.4,29.8,12.8,132.3,21.5,2.6,11493,2352,14314,12239,3697,5247,11361,8671.857,6196,80.1,3,12.9,1.8
48084,Troy,MI,15254,3.3,5.9,22.1,5.5,165.2,9.2,1.3,1689,7340,6307,3389,1314,10512,12654,6172.143,2657,79.9,1.9,15.2,0.9
48085,Troy,MI,24931,5.3,3.7,23.6,4.2,192.5,23,15,3985,2794,7900,1995,613,4856,3447,3655.714,522,?,?,?,?
48088,Warren,MI,23110,10.5,5.8,26,9.5,116.2,14.9,27.1,11620,7236,10576,8236,6133,7591,1381,7539,4520,?,?,?,?
48089,Warren,MI,31049,21.4,14.1,39.6,27.6,70,18.2,-4.1,20897,20415,20993,22288,20838,6245,18426,18586,22099,89.8,2.5,2.6,1.9
48091,Warren,MI,30142,19.2,12.3,37.3,29.5,66.4,23.4,1,19664,18630,19794,22767,21732,4771,12903,17180.14,20384,87.3,4,3.1,1.7
48092,Warren,MI,26914,13.7,5.5,29.6,12.5,99.7,3.4,6.7,15390,6629,14156,11907,10433,14215,7796,11503.71,10854,88.1,2.6,4.8,1.5
48093,Warren,MI,23642,13.2,6.3,27.1,14.8,98.6,-12.6,-4.5,14830,8388,11727,14371,10772,21188,18791,14295.29,15803,93.4,1.1,2.5,0.7
48094,Washington,MI,18562,7.3,5.1,25.3,7.2,163.9,12.6,7.8,6880,5620,9811,5364,1367,8663,6927,6376,2928,96.1,0.2,0,2.5
48095,Washington,MI,5182,6.6,3.5,21.1,3.4,195.7,-6.3,-5.5,5812,2468,5210,1301,557,19318,19368,7719.143,4798,96,0.1,1.1,2.2
48096,Ray,MI,3923,11.6,4.6,21.9,5.9,150.1,49.3,10.2,12995,4645,6098,3822,2120,1673,5426,5254.143,1661,96.7,0.5,0,0.9
48097,Yale,MI,5203,13.6,9.7,31.9,14,94.7,10.5,9.1,15291,15016,16152,13554,12197,9818,6089,12588.14,12798,95.6,0.1,0.2,2.6
48098,Troy,MI,19050,4,2.9,23.8,4.2,219.4,14.1,-2.9,2378,1540,8109,1998,272,7912,17459,5666.857,2063,82.5,1.9,11.9,1.3
48101,Allen Park,MI,27622,8.5,6.5,26,6.8,127.2,-13.9,-8.2,8726,8758,10589,4900,4335,21463,20787,11365.43,10606,92,0.7,0.9,4.6
48103,Ann Arbor,MI,53840,3,4.8,18.7,9.8,161,5.8,2,1396,4925,3013,8558,1509,12647,11967,6287.857,2793,82.6,6.7,5.4,2.4
48104,Ann Arbor,MI,40528,2.3,7.1,25.8,36.8,95.1,12.7,4.2,850,10010,10377,23847,12055,8636,9839,10802,9666,78.3,5.2,9.6,3.6
48105,Ann Arbor,MI,34711,2.5,4.9,26.7,19.8,119.2,21.1,0.6,994,5123,11275,18570,5565,5349,13246,8588.857,6053,64.7,8.3,20.3,2.9
48108,Ann Arbor,MI,26249,7,3.4,22.5,12,124.3,-2,3.8,6424,2311,6677,11250,4732,17358,10283,8433.571,5816,65.6,15.5,10,4.6
48111,Belleville,MI,42062,11.3,9.4,28.8,13.9,108.8,9.9,5.6,12628,14493,13438,13431,7784,10135,8660,11509.86,10862,82.6,10.8,1.5,1.9
48114,Brighton,MI,20600,3.4,4,22.7,4.9,173.6,5.4,13.5,1779,3325,6914,2727,1028,12924,4003,4671.429,1167,96.1,0.6,1.2,0.7
48116,Brighton,MI,26624,3.8,5.7,23.2,5.6,162.9,5,2.5,2161,6925,7508,3511,1407,13170,11509,6598.714,3208,96.9,0.1,0.3,1
48117,Carleton,MI,10018,12.5,9.4,38.2,12.1,113.3,-3.7,3.2,14018,14506,20266,11460,6739,18213,10854,13722.29,14844,93.6,2.1,0,1.4
48118,Chelsea,MI,12563,5.5,3.7,22.3,3.3,143.2,6.3,-0.3,4246,2805,6476,1225,2632,12307,15385,6439.429,3011,94.4,2.1,0.9,1.3
48120,Dearborn,MI,7605,28,11.9,39.2,29.1,83.4,15.6,15,23135,18178,20786,22678,16463,7291,3454,15997.86,18637,73,3.1,3,1.4
48122,Melvindale,MI,10564,22.6,9,39.4,26.9,66.6,4.9,-4.6,21449,13897,20866,22082,21673,13300,18824,18870.14,22397,80.3,5.1,0.7,8.8
48124,Dearborn,MI,30513,7.1,7.7,25.7,9.7,122.2,-31.4,4.1,6570,11307,10266,8496,5091,23516,9991,10748.14,9582,92.9,0.9,1,2.9
48125,Dearborn Heights,MI,19755,13.3,11,35,19.6,93.3,2.1,13.1,14927,16938,18408,18461,12705,15074,4137,14378.57,15935,91.2,1.1,0.9,4.4
48126,Dearborn,MI,47217,31.3,11.6,50.4,45.7,58.6,-0.6,8.1,23667,17791,23589,24414,23090,16711,6763,19432.14,22891,78.1,1.1,1.6,3.1
48127,Dearborn Heights,MI,36901,14.7,4.5,35.9,20.3,88.7,4.1,14.6,16340,4433,18930,18960,14401,13812,3574,12921.43,13384,87.5,2.6,2.6,3.5
48128,Dearborn,MI,10734,5.8,3.9,23,9.7,149.4,-53.7,8.8,4673,3185,7246,8475,2172,24350,6303,8057.714,5280,94.1,0.2,0.5,3.5
