"Zip_Code","City","State","Population","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz"
"Z23086","King William","VA",3082,15," 4.7",28.4,17.6,88.9,15.8,4.7
"Z23089","Lanexa","VA",5562,14," 3.1",33.8,17.5,88.2,-4,-9.2
"Z23092","Locust Hill","VA",746,9.5,"14.2",19,0.4,108.9,6.8,20
"Z23093","Louisa","VA",12814,16.4,"11.4",28.7,10.7,87.4,-8.40000000000001,1.2
"Z23102","Maidens","VA",3026,8.59999999999999," 0.6",15.2,3.6,143.4,-18.5,0
"Z23103","Manakin Sabot","VA",5039,5.8," 3.1",29.8,2.8,157.6,-2.59999999999999,10.4
"Z23106","Manquin","VA",1020,16.2,"26.6",41,39.1,56,-18.8,-6.2
"Z23109","Mathews","VA",2458,7.8," 7.2",25.3,13.9,108.3,7.09999999999999,-1.09999999999999
"Z23110","Mattaponi","VA",617,17.1," 5.8",41.7,7.5,79.1,-23.5,-27.3
"Z23111","Mechanicsville","VA",37033,7.59999999999999," 4.4",18.2,6.1,112.1,7.7,0.200000000000003
"Z23112","Midlothian","VA",50756,5," 6.1",18.8,4,127.3,17.8,10.6
"Z23113","Midlothian","VA",24505,2.59999999999999," 4.1",24.1,4.1,165.3,11.9,12
"Z23114","Midlothian","VA",18505,2.40000000000001," 2.3",21.1,4.9,138.4,38.6,19
"Z23116","Mechanicsville","VA",27470,5.3," 3.0",18.3,3.4,149.6,10.4,8.7
"Z23117","Mineral","VA",8633,15.6,"10.4",26.6,8.1,99,-7.09999999999999,11.3
"Z23120","Moseley","VA",7575,3.3," 1.9",19.2,1.1,200.5,19.8,23.9
"Z23123","New Canton","VA",1776,17,"20.9",44.2,14.4,58.6,2.5,30.4
"Z23124","New Kent","VA",3260,9.40000000000001," 3.8",18,3.6,107.4,-9.3,8.2
"Z23129","Oilville","VA",428,4.7,"13.8",4.09999999999999,0,171.7,38,10
"Z23139","Powhatan","VA",24396,9," 4.6",22.1,5.3,116.1,20.5,8.09999999999999
"Z23140","Providence Forge","VA",6312,13.8," 7.4",18.1,7.4,106.8,24.4,13.7
"Z23141","Quinton","VA",5872,10.1," 2.9",19.6,4.3,119.9,24.6,1.7
"Z23146","Rockville","VA",3156,6.40000000000001," 5.7",19.6,5.8,137.1,1.5,24.8
"Z23148","Saint Stephens Church","VA",2217,21.3,"11.3",25.9,25.1,84.1,6.2,-9.09999999999999
"Z23149","Saluda","VA",3096,15.2,"11.9",31,13,75.2,-1.40000000000001,-4.7
"Z23150","Sandston","VA",11372,13.6," 9.5",21.7,9.9,89,-9.40000000000001,6.90000000000001
"Z23153","Sandy Hook","VA",987,7.5,"15.6",13.7,0.5,116.6,-15.8,-15.4
"Z23156","Shacklefords","VA",1597,15.2,"12.2",24.3,14.8,67.8,-73.5,13.6
"Z23168","Toano","VA",6385,4.3," 8.8",25.2,7,133.9,32.9,11.1
"Z23169","Topping","VA",1363,22," 6.2",20.7,6.8,80,49.3,11.5
"Z23175","Urbanna","VA",1782,13.7,"22.1",35.6,10.7,56.9,-14.3,-9.59999999999999
"Z23177","Walkerton","VA",568,12.6," 4.5",31.7,5.6,85.7,12.1,25
"Z23181","West Point","VA",5711,8," 5.4",21.6,12.7,96.9,8.5,3.7
"Z23185","Williamsburg","VA",47766,6.8,"11.1",24.3,12.2,109.1,16.5,-0.799999999999997
"Z23188","Williamsburg","VA",40742,6.7," 6.2",27.3,8.4,107.7,24.6,11.5
"Z23192","Montpelier","VA",6906,7.8," 3.9",16.7,3.5,136.7,-9.09999999999999,4.7
"Z23219","Richmond","VA",3587,17.4,"16.1",47.6,45.3,30.5,6.90000000000001,-0.400000000000006
"Z23220","Richmond","VA",34303,10.7,"13.6",24.9,33.6,56.3,-8.09999999999999,2.09999999999999
"Z23221","Richmond","VA",15832,5.2," 5.0",18.8,10.6,93,1.59999999999999,2.09999999999999
"Z23222","Richmond","VA",25790,19.8,"16.6",34.6,27,54.3,0.900000000000006,-0.299999999999997
"Z23223","Richmond","VA",48938,19.1,"11.7",31.8,28.8,56.7,14.2,8.59999999999999
"Z23224","Richmond","VA",36702,27.6,"13.2",34.8,32.1,50,-0.200000000000003,2.90000000000001
"Z23225","Richmond","VA",40059,14.9,"10.2",25.8,17.1,64,15.8,3.8
"Z23226","Richmond","VA",15809,6," 8.9",19,6.2,123.6,0.599999999999994,12.4
"Z23227","Richmond","VA",26302,9.2,"10.0",24.5,17,72.9,28.1,6.3
"Z23230","Richmond","VA",5928,11.1," 7.1",16.1,9.3,77.8,-1.7,-1.09999999999999
"Z23234","Richmond","VA",44295,24.3,"10.3",26.2,18.3,70.4,-14.8,10.6
"Z23235","Richmond","VA",31170,7.40000000000001," 6.0",20.1,6.6,107.9,18.4,0.700000000000003
"Z23236","Richmond","VA",26705,7.8," 4.6",24.2,9.3,108.7,5,-1.7
"Z23237","Richmond","VA",21518,18.1," 8.2",26.6,13.3,79,12.7,3.90000000000001
"Z23301","Accomac","VA",1223,18.3,"23.8",38.4,26.9,48.4,-5.3,-9.2
"Z23303","Atlantic","VA",1121,9.5," 8.6",29.6,2.1,75.9,-9.2,-7.09999999999999
"Z23308","Bloxom","VA",1846,19.6,"10.8",29,16.9,54.2,6.7,-20
"Z23310","Cape Charles","VA",4422,15.4,"19.2",35.6,24.4,54.3,-8.5,14.8
"Z23314","Carrollton","VA",7471,7.8," 8.3",19,3.6,122.2,-11,4.8
"Z23315","Carrsville","VA",1643,9.5,"15.4",24.4,5.7,96.3,53.5,0
"Z23320","Chesapeake","VA",54310,6," 5.9",26.2,8.3,100.6,3.8,1.8
"Z23321","Chesapeake","VA",34883,8.7," 5.0",27,9.8,105.5,2.3,0.400000000000006
"Z23322","Chesapeake","VA",62968,7.3," 4.4",34.5,4.9,142.5,17.5,1.5
"Z23323","Chesapeake","VA",37183,8.8," 5.3",29.2,11.6,109.4,10.9,0.200000000000003
"Z23324","Chesapeake","VA",23558,20.1," 8.7",29.7,21.5,59.6,0.0999999999999943,7.40000000000001
"Z23325","Chesapeake","VA",17741,10.8," 5.0",23.6,9.8,84.6,3.90000000000001,-2.3
"Z23336","Chincoteague Island","VA",2930,12.8,"11.8",30.7,9.5,73,3,-1.3
"Z23347","Eastville","VA",574,18.2,"14.4",17.9,40.6,45.1,-23.9,-2.40000000000001
"Z23350","Exmore","VA",3255,26.9,"14.2",37.7,25.9,40.9,-0.0999999999999943,0
"Z23356","Greenbackville","VA",1221,10.4,"14.6",33.7,13.4,78.2,-39.4,50
"Z23359","Hallwood","VA",1003,34.5,"24.0",17.6,11.2,57,-3.09999999999999,-33.3
"Z23405","Machipongo","VA",1128,18.3,"12.3",38.3,15.1,69.7,18.5,27.3
"Z23410","Melfa","VA",2792,23.1,"10.3",31.6,26.6,63.3,-26.2,-9.5
"Z23413","Nassawadox","VA",1124,22.1,"16.2",33.2,8.5,72.3,-14.8,-9.5
"Z23415","New Church","VA",1761,16.4,"27.5",18.7,25,68.8,5.2,0
"Z23417","Onancock","VA",3137,15.5,"14.0",42.3,25.5,54.4,-2.09999999999999,-1.09999999999999
"Z23418","Onley","VA",838,21.4,"12.6",18.4,14.3,84.4,-0.599999999999994,-15.1
"Z23420","Painter","VA",2746,21.2," 5.7",25.9,17.5,48.9,-8,0
"Z23421","Parksley","VA",4600,26.9,"13.0",30.8,24.6,62,-27.2,-22.2
"Z23430","Smithfield","VA",17388,12.8," 5.1",27,14.1,103.5,0.5,1.2
"Z23432","Suffolk","VA",1138,14.6,"14.2",36.9,19.7,119.6,22.4,23.8
"Z23433","Suffolk","VA",1100,8.40000000000001," 4.1",28.9,5.7,120.8,-9.7,16.7
"Z23434","Suffolk","VA",49020,15,"10.5",30.2,16,82,2.90000000000001,4.09999999999999
"Z23435","Suffolk","VA",27895,8.40000000000001," 7.3",24.7,5.1,129.6,15.6,16.2
"Z23436","Suffolk","VA",1094,5.90000000000001," 3.8",26.5,3.4,170.6,-22.4,0
"Z23437","Suffolk","VA",3849,15," 7.1",27.6,8.2,92.9,-11.3,12.5
"Z23438","Suffolk","VA",2046,8.5,"10.9",26.6,3.5,99.9,3.3,-22.7
"Z23440","Tangier","VA",491,30,"11.7",32.1,15.5,60.3,-5.59999999999999,-18.2
"Z23451","Virginia Beach","VA",42761,4.7," 7.9",24.8,9.7,95.7,9.90000000000001,2.59999999999999
"Z23452","Virginia Beach","VA",60333,8.2," 5.9",25.1,9.1,95.4,6.09999999999999,3.90000000000001
"Z23453","Virginia Beach","VA",36533,9.3," 5.5",28.2,9.7,98.8,28.4,15.2
"Z23454","Virginia Beach","VA",61172,5.2," 6.9",28.3,10.1,97.7,15.2,4.3
"Z23455","Virginia Beach","VA",49598,5.5," 6.5",28.8,6.5,101.5,-3.40000000000001,4.90000000000001
"Z23456","Virginia Beach","VA",53271,4.8," 3.9",30,3.3,144.2,8.90000000000001,4.09999999999999
"Z23457","Virginia Beach","VA",4323,10.8," 4.2",24.9,5.2,118.4,8.40000000000001,9.8
"Z23459","Virginia Beach","VA",1144,1.8," 6.9",64.2,12,66.9,30.4,43.5
"Z23462","Virginia Beach","VA",61786,9," 8.3",26.8,11.7,91.2,-6.5,-0.5
"Z23464","Virginia Beach","VA",75119,6.7," 4.1",26.7,6.8,109.8,27.6,-0.799999999999997
"Z23480","Wachapreague","VA",297,20.8,"17.5",42.1,19.5,46.5,0,12.5
"Z23487","Windsor","VA",6396,18.9," 6.8",30,13.9,81.2,79.7,-3.7
"Z23502","Norfolk","VA",21282,13.9,"10.0",31.6,16.2,72.3,-3.7,-6.8
"Z23503","Norfolk","VA",32018,10,"11.0",31.6,15.4,72.9,4.8,3.7
"Z23504","Norfolk","VA",22517,23.6,"11.8",38.9,33.7,42.3,-20,-0.700000000000003
"Z23505","Norfolk","VA",32070,9.59999999999999," 8.3",37.6,20.8,62.6,1.59999999999999,-5.7
"Z23507","Norfolk","VA",7346,3.09999999999999," 2.9",29.3,12.2,100.5,1.8,-4.5
"Z23508","Norfolk","VA",21699,9.2,"10.7",31.5,28,79.6,31.7,0.900000000000006
"Z23509","Norfolk","VA",13005,14.1," 8.8",30.8,18.4,67.4,-4.59999999999999,-0.700000000000003
"Z23510","Norfolk","VA",7296,15.4,"10.7",53.2,36.7,81.6,-9.90000000000001,-9.09999999999999
"Z23513","Norfolk","VA",30197,15.9," 7.2",31.5,17.4,65.4,7.3,-3.8
"Z23517","Norfolk","VA",4693,9.59999999999999,"10.8",38.7,25.9,64,11.9,3.2
"Z23518","Norfolk","VA",29983,13.5," 7.1",31.6,15.9,82.4,-0.700000000000003,0.599999999999994
"Z23523","Norfolk","VA",8710,21.6," 7.6",38.2,38.8,40.4,2.8,-16.1
"Z23601","Newport News","VA",26432,12.3," 9.2",27.6,11.7,77.2,5.8,5.40000000000001
"Z23602","Newport News","VA",39471,8.8," 9.3",25.4,10.3,93.2,5.2,-2.3
"Z23603","Newport News","VA",3940,9.90000000000001,"12.5",35.4,14.9,82.5,8.2,15.9
"Z23604","Fort Eustis","VA",6539,0.400000000000006,"13.0",77,18.9,76.5,-51.8,-9.40000000000001
"Z23605","Newport News","VA",12829,14,"14.1",31.6,18.2,61.8,-3.40000000000001,-3.59999999999999
"Z23606","Newport News","VA",29843,10," 9.3",23.1,12,84.3,-3.7,4.59999999999999
"Z23608","Newport News","VA",43383,8.40000000000001," 6.2",26.9,15.1,79.3,-1.90000000000001,4.90000000000001
"Z23651","Fort Monroe","VA",429,1.7,"46.6",14.7,2.6,170.5,-33.1,-29.2
"Z23661","Hampton","VA",13763,15.1,"13.8",33.2,19.8,63.9,-2.5,1.2
"Z23662","Poquoson","VA",12027,6.40000000000001," 1.9",21.5,4.2,128.9,-8.8,-8.2
"Z23663","Hampton","VA",13861,14.4,"15.6",34.5,22.9,63.3,2,2.7
"Z23664","Hampton","VA",9550,9.40000000000001,"13.5",27.9,5.8,90.4,12.5,7.7
"Z23665","Hampton","VA",5934,1.90000000000001," 9.6",66.7,6.6,81.1,3.7,2.5
"Z23666","Hampton","VA",51728,8,"10.4",28.8,12.8,82.2,2.59999999999999,1.90000000000001
"Z23669","Hampton","VA",42727,10.4,"10.0",33,16.9,72,-10.9,-4.09999999999999
"Z23690","Yorktown","VA",3416,10.1,"11.2",38,15.2,68.6,3,-13.7
"Z23692","Yorktown","VA",19347,6," 6.9",25.7,5.2,127.5,-0.299999999999997,-5.8
"Z23693","Yorktown","VA",23454,3.59999999999999," 4.0",27,2.8,151,0.200000000000003,4.09999999999999
"Z23696","Seaford","VA",3652,4.90000000000001," 7.1",17.7,3.1,131.3,-1,-9.7
"Z23701","Portsmouth","VA",23577,16.4," 9.0",32,11.7,74.1,-5.2,-5.7
"Z23702","Portsmouth","VA",11441,22.9,"12.2",37.5,19.1,53.6,0.0999999999999943,0
"Z23703","Portsmouth","VA",26915,9.8," 5.9",26.4,12.1,92.7,16.9,-6.09999999999999
"Z23704","Portsmouth","VA",18416,21.6,"15.8",39.7,32.3,50.8,-7,-8.5
"Z23707","Portsmouth","VA",15090,17.6," 9.2",29,21.5,59.8,-1.40000000000001,1.59999999999999
"Z23801","Fort Lee","VA",4747,2.09999999999999,"10.1",65.6,9.3,90.4,-25.6,-9.7
"Z23803","Petersburg","VA",38846,22.7,"19.3",37,24,58.2,19.5,-3.90000000000001
"Z23805","Petersburg","VA",20466,12.7,"11.1",31.4,17.1,68.8,1.2,-3.59999999999999
"Z23821","Alberta","VA",1857,18.3,"14.5",26.4,12.1,60.8,22.8,0
"Z23824","Blackstone","VA",6984,22.7,"13.2",32.7,20.7,55.4,-4.59999999999999,0
"Z23827","Boykins","VA",1328,30.7,"14.5",28.5,17.3,48.3,6.40000000000001,0
"Z23828","Branchville","VA",395,41.9,"19.7",19.8,6.1,86.5,27.3,-33.3
"Z23829","Capron","VA",2652,30.8,"15.9",71.3,8.1,96,-2,0
"Z23830","Carson","VA",1325,19.5," 4.8",18.7,1.5,119.8,-47,-25
"Z23831","Chester","VA",34935,8.7," 4.1",22.3,7.3,104.9,-2.7,5.90000000000001
"Z23832","Chesterfield","VA",34561,8.8," 4.9",22.8,7.1,124.2,9.40000000000001,21
"Z23833","Church Road","VA",2846,16.8,"15.3",32.9,12.8,86.7,5.90000000000001,4.3
"Z23834","Colonial Heights","VA",24976,11.1," 8.0",26.3,11.6,84.2,1.8,0
"Z23836","Chester","VA",12830,8.7,"11.0",24.6,3.5,128.3,63.8,-5.2
"Z23837","Courtland","VA",4802,13.6," 6.9",30.7,22,77,18.7,3.40000000000001
"Z23838","Chesterfield","VA",16003,6.8," 4.1",20.8,3.3,154.7,60.3,10.7
"Z23840","Dewitt","VA",2277,16.2," 4.6",26.7,21.7,76.4,-24.4,-21.4
"Z23841","Dinwiddie","VA",3862,16.3," 5.7",30.6,11.9,81.1,-11.8,-21.9
"Z23843","Dolphin","VA",584,23.4,"15.2",26.8,28.3,50.8,-5.09999999999999,-33.3
"Z23844","Drewryville","VA",595,23.1,"18.2",40.5,41.2,59.1,7.3,-9.09999999999999
"Z23845","Ebony","VA",295,5.7," 0.0",21.2,9.8,56.6,21.9,-7.7
"Z23847","Emporia","VA",15798,26.2,"11.7",61.3,29.4,46.8,-5.59999999999999,-1
"Z23851","Franklin","VA",13104,18.8,"10.7",30.5,18.4,58.5,12.4,-1.8
"Z23857","Gasburg","VA",759,27.2,"26.7",17.8,27.7,57.4,-2.2,-3
"Z23860","Hopewell","VA",31269,17.2,"12.4",44.7,16,66.4,-7.2,-2.8
"Z23866","Ivor","VA",2088,17.6," 9.5",20.5,15.7,81.8,-3.59999999999999,-3.2
"Z23867","Jarratt","VA",1814,15.9,"21.9",18.2,9,62.5,-2,7.40000000000001
"Z23868","Lawrenceville","VA",7451,24.4,"18.8",58.3,30.5,47.8,-26.1,-7.09999999999999
"Z23872","Mc Kenney","VA",2252,20.3,"14.9",32.7,17.8,62.3,-4.40000000000001,10
"Z23875","Prince George","VA",11309,13.3," 8.3",36.5,11.4,92.7,92.7,8.90000000000001
"Z23878","Sedley","VA",1224,13.8," 6.5",25.4,9.2,97.5,-20.4,-6.2
"Z23882","Stony Creek","VA",1681,20.5,"11.3",32.6,16,69.6,1.8,-8
"Z23888","Wakefield","VA",1978,18.8," 9.7",35.4,26.1,60.7,36.9,13.3
"Z23889","Warfield","VA",472,45.7,"39.7",10.7,25.2,40.1,28.8,-37.5
"Z23890","Waverly","VA",3206,22.5,"13.8",34.7,18.8,64.1,4.5,-4
"Z23897","Yale","VA",551,25.1,"12.0",30.9,7.4,77.5,-80,33.3
"Z23899","Claremont","VA",281,25,"24.2",44.9,19.2,55.8,21.1,0
"Z23901","Farmville","VA",17382,19.5,"10.9",33.2,23.8,61.4,-5.2,-0.799999999999997
"Z23915","Baskerville","VA",938,15.4,"16.0",61,10.9,82.1,37.5,60
"Z23917","Boydton","VA",3422,27,"14.1",55.9,26.4,54.4,87,22.2
"Z23919","Bracey","VA",2257,13.4," 6.7",34.3,16.3,49.8,0,6.8
"Z23920","Brodnax","VA",4012,25.9,"12.3",28.6,19.8,56.7,-1.09999999999999,11.8
"Z23921","Buckingham","VA",1961,20,"16.5",30.1,23.9,53.7,-7.3,5
"Z23923","Charlotte Court House","VA",2481,18,"18.3",30.3,20.2,56.5,-14.4,-4.5
"Z23924","Chase City","VA",6445,25.4,"17.9",34.2,23,51.4,-10.7,-14
"Z23927","Clarksville","VA",4101,12.3,"17.1",35.6,12.8,65.8,0,-5.3
"Z23930","Crewe","VA",5664,19.9,"15.5",35.2,23.5,65.6,-5.5,3.5
"Z23936","Dillwyn","VA",8122,22.4,"18.1",54.5,17,61.4,6.09999999999999,-6.2
"Z23937","Drakes Branch","VA",1993,23.5,"13.2",39.6,26.8,39,2.90000000000001,0
"Z23944","Kenbridge","VA",4303,22.4,"23.0",37.1,24.9,49.8,34,-2.40000000000001
"Z23947","Keysville","VA",3834,21,"19.7",31.6,15.6,55,-2.40000000000001,-8.8
"Z23950","La Crosse","VA",3453,26.7,"14.4",31.9,24.9,59.4,29.4,-1.40000000000001
"Z23954","Meherrin","VA",1748,25.9," 3.2",44.6,15,82.3,17.6,-8.3
"Z23958","Pamplin","VA",3301,16.3,"18.7",37.5,26.4,61.3,-13.9,27.3
"Z23959","Phenix","VA",1308,17.2,"20.6",28.7,16.9,69,83,-12.5
"Z23960","Prospect","VA",1781,24.9,"13.7",41.2,7.8,77.2,-17.1,-8
"Z23962","Randolph","VA",458,28.4,"12.5",53.6,26.4,23.6,120,-28.6
"Z23964","Red Oak","VA",1231,21.6,"11.2",22.9,26,57.7,31.2,33.3
"Z23966","Rice","VA",2757,24.1,"14.8",36.9,20.5,67.9,2.09999999999999,12.9
"Z23967","Saxe","VA",1366,26.8,"18.2",25.2,13.9,69.3,-8.5,10
"Z23968","Skipwith","VA",781,14.9,"19.3",35.4,19.7,50.1,64.4,-6.2
"Z23970","South Hill","VA",7834,20,"13.8",23.9,15.1,60.3,-4.8,-0.599999999999994
"Z23974","Victoria","VA",5292,28.5,"16.9",59.3,23.8,60.8,42.3,11.1
"Z23976","Wylliesburg","VA",86,18.7,"60.6",38,32.6,55.7,5.90000000000001,-30
"Z24011","Roanoke","VA",332,3,"22.0",16.5,12,117.9,-4.7,-4.90000000000001
"Z24012","Roanoke","VA",30095,16.3," 6.5",27.7,18.2,67.8,12.8,-0.599999999999994
"Z24013","Roanoke","VA",7716,24.3,"17.9",40,38.2,44.3,23.1,-2.40000000000001
"Z24014","Roanoke","VA",17713,10.6," 6.7",25.9,10.2,75.6,8.5,-5
"Z24015","Roanoke","VA",15804,8," 9.2",19.8,13.3,79,13.8,0.599999999999994
"Z24016","Roanoke","VA",8532,23.5,"17.0",38.7,27.1,41,-9.90000000000001,1.90000000000001
"Z24017","Roanoke","VA",24439,18.9," 9.8",30.8,26.4,54,2.59999999999999,0
"Z24018","Roanoke","VA",37407,3.59999999999999," 3.7",24.4,8.5,99.5,3.3,3.09999999999999
"Z24019","Roanoke","VA",26931,8.7," 5.1",22.4,8,95.9,-2.5,-2.3
"Z24054","Axton","VA",6381,22.6,"15.0",33.6,19.8,53.2,-35.3,-12.5
"Z24055","Bassett","VA",12608,23.5,"16.1",39.2,19.4,50.5,-3.09999999999999,-6.09999999999999
"Z24060","Blacksburg","VA",54304,6.3," 8.0",25.3,36.9,61.7,16.5,-0.299999999999997
"Z24064","Blue Ridge","VA",4142,13.5," 7.2",38.9,9.2,91.6,-1.7,5.59999999999999
"Z24065","Boones Mill","VA",6422,14," 3.9",24.6,8.6,90.3,33.6,3.90000000000001
"Z24066","Buchanan","VA",4646,15.5,"13.3",22.6,9.9,78.2,-10.4,-4.5
"Z24067","Callaway","VA",2163,18.7,"15.8",23,11.9,56.6,6.8,27.3
"Z24072","Check","VA",1243,13," 7.4",12.6,4.8,86.5,70,-23.1
"Z24073","Christiansburg","VA",30860,7.90000000000001," 7.0",21.7,10.3,82.5,-0.299999999999997,-4
"Z24077","Cloverdale","VA",1077,11," 4.7",20.8,3.4,75,55.9,17.1
"Z24078","Collinsville","VA",7689,21.8," 9.8",35.1,16.2,55.4,-8.3,-11
"Z24079","Copper Hill","VA",1960,20.7," 8.5",16.5,6.7,72.7,31.9,46.2
"Z24082","Critz","VA",229,0,"28.1",0,0,55.8,120,25
"Z24083","Daleville","VA",2819,5.59999999999999," 7.4",15.3,1.2,123.8,10.8,0
"Z24084","Dublin","VA",11309,14.9," 6.3",32,10.5,79,47.8,-9.5
"Z24087","Elliston","VA",4551,23," 8.9",40.7,27.5,51.2,10.8,-8.90000000000001
"Z24090","Fincastle","VA",4895,7,"14.8",26.7,8.5,99.1,28.7,1.2
"Z24091","Floyd","VA",7176,16.4,"17.0",22.7,9,77.7,6.3,7.90000000000001
"Z24092","Glade Hill","VA",2705,25.4," 4.6",33.1,14.2,63.1,17.4,22.7
"Z24093","Glen Lyn","VA",205,7," 9.9",45.5,7.3,85.7,-21.4,-9.09999999999999
"Z24095","Goodview","VA",4613,15.8," 8.0",25.6,8.4,85.1,-30,-15.9
"Z24101","Hardy","VA",6464,7.90000000000001," 6.3",29.6,7.6,100.3,-1.3,0.900000000000006
"Z24102","Henry","VA",1806,21," 1.2",39.3,14.1,65.4,34.7,20
"Z24104","Huddleston","VA",3771,8.3,"12.0",35.3,9.3,88,-9.3,-13.2
"Z24112","Martinsville","VA",31792,20.4,"15.1",36.3,20.6,49.9,-0.5,-6.59999999999999
"Z24120","Meadows Of Dan","VA",1462,19.7,"21.3",38.3,22.9,42.3,11.2,-6.2
"Z24121","Moneta","VA",10269,11.1,"10.8",31.6,10.4,86.6,5.8,-2.09999999999999
"Z24122","Montvale","VA",1462,13.1,"14.3",21.2,4.7,79.6,-9.5,8.3
"Z24124","Narrows","VA",4315,16.1," 5.8",29.6,12,76.8,36.5,-8.90000000000001
"Z24127","New Castle","VA",4144,10.3," 7.0",36,13.7,67.1,-11,8.5
"Z24128","Newport","VA",1614,18.7,"21.2",38.7,14.8,68,-26.1,0
"Z24133","Patrick Springs","VA",2726,19.5," 8.8",30.5,16.6,56,-17.2,-8
"Z24134","Pearisburg","VA",5354,21," 8.9",25.9,6.2,71.3,0.5,0
"Z24136","Pembroke","VA",3576,11.8," 6.3",28.7,10.1,71.8,33.9,6.09999999999999
"Z24137","Penhook","VA",2811,14.9," 6.4",32.3,18.1,85.6,14.3,3.09999999999999
"Z24138","Pilot","VA",1699,7.8,"14.7",35.3,0.6,91.8,11.4,11.1
"Z24141","Radford","VA",21709,11,"13.3",31.6,27.9,62,-0.400000000000006,-3.90000000000001
"Z24147","Rich Creek","VA",1366,9.3,"10.2",32.9,14.1,72,-10.9,13.3
"Z24148","Ridgeway","VA",7771,17.4,"10.1",30.7,14,60.5,11.9,13.5
"Z24149","Riner","VA",3575,12," 7.6",21,7.7,93.5,-10.7,-10.9
"Z24151","Rocky Mount","VA",19840,18.6," 8.6",27.2,19.2,59,6.3,2.59999999999999
"Z24153","Salem","VA",37128,10.8," 6.8",25.5,9.8,81.7,1.3,0
"Z24161","Sandy Level","VA",504,43,"18.1",23.9,21.4,80.2,23.8,0
"Z24162","Shawsville","VA",1718,13.9,"17.5",21.7,14,69.4,36.7,2.59999999999999
"Z24171","Stuart","VA",8201,21.4,"13.3",39.6,21.3,53.3,21.4,-8.90000000000001
"Z24174","Thaxton","VA",2696,28.7,"12.1",37.7,12.2,64.8,-4.2,0
"Z24175","Troutville","VA",8834,8.8," 4.1",21.3,7,92.6,72.4,-4
"Z24176","Union Hall","VA",1623,9," 7.8",33.9,5.4,93.9,-3.90000000000001,15.4
"Z24179","Vinton","VA",18671,11," 7.4",25.6,11.7,77.2,5.7,1.90000000000001
"Z24184","Wirtz","VA",4672,20," 9.9",42.7,17.8,80.8,27.3,2.5
"Z24185","Woolwine","VA",1034,32.5," 0.0",53.1,2.9,82.2,3.8,-28.6
"Z24201","Bristol","VA",16861,17.8," 9.4",34.3,21,54.4,-31.1,-4.90000000000001
"Z24202","Bristol","VA",12556,16.7," 4.9",31.3,8.4,64.9,12.5,8.5
"Z24210","Abingdon","VA",17066,16.5," 6.1",34,14.2,65.2,9,-0.799999999999997
"Z24211","Abingdon","VA",10193,10.3," 7.4",27.4,9.2,81.2,35.6,-1.90000000000001
"Z24216","Appalachia","VA",2843,22.3," 8.7",55.2,30.1,46.2,-59.5,-10.4
"Z24219","Big Stone Gap","VA",11357,25.2," 8.4",51.8,21.6,62.6,-16.9,-3.8
"Z24220","Birchleaf","VA",473,15.9,"20.1",30.4,15.2,53.3,-4.5,66.7
"Z24224","Castlewood","VA",6273,26.1,"13.7",44.1,21.1,51,-19.6,-7.90000000000001
"Z24226","Clinchco","VA",1547,30.5,"13.8",53,22.7,57.9,-4.2,-16.7
"Z24228","Clintwood","VA",6616,23.3,"11.7",44.9,16.3,52.2,-27.2,-10.4
"Z24230","Coeburn","VA",9003,28.9," 6.7",54.3,26.8,47.3,-9.09999999999999,2.3
"Z24243","Dryden","VA",2383,15.7," 1.2",39.2,22,62.8,-23,-33.3
"Z24244","Duffield","VA",6324,29.3," 6.2",55.5,27,48.4,13.7,3.2
"Z24245","Dungannon","VA",983,29.8," 6.9",56.7,23.9,38,4.2,-30
"Z24248","Ewing","VA",2801,29.5,"10.3",53.5,26.9,39.3,11.4,4.3
"Z24251","Gate City","VA",8500,20.2," 6.4",34.3,19,60.5,-3.90000000000001,-7.7
"Z24256","Haysi","VA",3639,27.8,"14.2",64.2,31.9,44,-49.4,-14.5
"Z24258","Hiltons","VA",1800,20.6," 4.0",29.6,15,60.3,-4.09999999999999,14.3
"Z24260","Honaker","VA",6082,28.5,"10.2",55.4,20.7,48.1,-16.3,-11.1
"Z24263","Jonesville","VA",6541,19.1," 8.2",39.6,20.8,57.3,-6.40000000000001,-11.4
"Z24266","Lebanon","VA",9146,18.3,"11.8",43.4,20.8,60.9,28.3,-1.59999999999999
"Z24271","Nickelsville","VA",2452,17.2,"12.7",42,27.2,59.3,-17.8,12.5
"Z24273","Norton","VA",6986,24.1," 2.6",38.7,23.4,54.8,16.9,-2.40000000000001
"Z24277","Pennington Gap","VA",6244,31.7," 4.1",69.4,23.2,41.4,-28.4,3.40000000000001
"Z24279","Pound","VA",5396,28.8," 2.8",56.3,22.6,57.8,-0.200000000000003,-15.6
"Z24280","Rosedale","VA",667,16.9," 3.6",42.1,24,68.4,-8.5,-18.8
"Z24281","Rose Hill","VA",2767,28.6," 5.5",50.3,37.3,37.4,0,5
"Z24282","Saint Charles","VA",674,47.3," 1.6",72.5,44.7,34.2,-42.9,0
"Z24283","Saint Paul","VA",1948,20.1," 6.1",44.2,20.1,61.6,-72.4,-19.7
"Z24290","Weber City","VA",1954,23.7," 6.8",44.5,18.8,50.4,9.90000000000001,-17.1
