"Zip_Code","City","State","Population","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz","No_Diploma_Rank","Vacancy_Rank","No_Job_Rank","Poverty_Rank","Med_Inc_Rank","Chg_Job_Rank","Chg_Biz_Rank","Avg_Rank","DCI"
"Z01062","Florence","MA",11029,6.3,4.1,24.6,14.3,99.1,13.7,3.8,5334,3566,9013,13817,10616,8138,10231,8673.57142857143,6203
"Z01068","Oakham","MA",1803,6.90000000000001,2,23.2,5.7,117.1,-40.4,-10.3,6210,670,7458,3621,5932,24003,21626,9931.42857142857,8232
"Z01069","Palmer","MA",8976,10.2,6.3,26.6,6.3,79,-0.5,0.799999999999997,11156,8353,11193,4316,18054,16639,13146,11836.7142857143,11396
"Z01070","Plainfield","MA",565,5.59999999999999,2.9,19.3,9.9,81.6,-52.4,-22.2,4315,1572,3505,8686,17109,24327,23760,11896.2857142857,11491
"Z01071","Russell","MA",1318,6.3,8.7,16.9,2.5,107.4,-30.4,-13,5335,13184,1859,670,8127,23423,22379,10711,9525
"Z01072","Shutesbury","MA",1465,4.7,8.1,19,9.9,101,-28.6,18.8,3162,12068,3305,8683,10010,23306,2526,9008.57142857143,6732
"Z01073","Southampton","MA",6022,7.3,1.9,14.2,5.4,116.5,14.4,9.8,6814,605,822,3196,6058,7783,5690,4424,963
"Z01075","South Hadley","MA",17781,7.7,3.2,22.4,9.9,87.9,6.3,1,7465,2022,6574,8712,14688,12347,12935,9249,7139
"Z01077","Southwick","MA",9640,9.7,5.9,20.1,5.4,117.3,8,-1.8,10464,7447,4241,3238,5893,11261,16564,8444,5838
"Z01079","Thorndike","MA",593,5.3,11.8,24.8,14.5,62.5,71.4,0,3927,17942,9311,14052,22490,950,13684,11765.1428571429,11274
"Z01080","Three Rivers","MA",2286,12.6,12.2,38.7,27.4,62.6,8,-4.8,14076,18483,20548,22230,22482,11312,18931,18294.5714285714,21793
