Zip_Code,City,State,Population,No_Diploma,Vacancy,No_Job,Poverty,Med_Inc,Chg_Job,Chg_Biz,No_Diploma_Rank,Vacancy_Rank,No_Job_Rank,Poverty_Rank,Med_Inc_Rank,Chg_Job_Rank,Chg_Biz_Rank,Avg_Rank,DCI,Rank_Label
Z03869,Rollinsford,NH,2462,7.5,5.1,18.8,5.5,93,-12.4,2,7132,5628,3107,3354,12786,21144,12017,9309.714286,7244,Comfortable
Z83404,Idaho Falls,ID,22614,6.5,9,25.8,11.3,118.2,4.1,10.5,5739,13755,10393,10436,5749,13791,5307,9310,7245,Comfortable
Z58276,Saint Thomas,ND,540,12.1,23.8,25.5,2.1,91.1,51.5,21.4,13577,23983,10098,493,13469,1536,2015,9310.142857,7246,Comfortable
Z17557,New Holland,PA,14582,29.7,3.4,26.1,7.5,106.1,11.4,10.8,23417,2389,10655,5746,8504,9321,5143,9310.714286,7247,Comfortable
Z51104,Sioux City,IA,22801,11.1,4.7,17.7,11.3,102.9,3.1,2.6,12388,4848,2311,10395,9441,14388,11410,9311.571429,7248,Comfortable
Z19606,Reading,PA,34736,9.7,5.6,20.5,9.7,123.4,6.1,-2.9,10494,6804,4622,8452,4885,12452,17476,9312.142857,7249,Comfortable
Z30082,Smyrna,GA,26974,8.7,7.6,23.7,14.2,139.7,1.3,11.6,9025,11155,8064,13696,2929,15552,4765,9312.285714,7250,Comfortable
Z93103,Santa Barbara,CA,20448,21.5,6.3,18.9,14.6,117.3,24,6.4,20960,8430,3199,14139,5907,4599,7958,9313.142857,7251,Comfortable
Z52731,Charlotte,IA,827,6.9,1.5,28,8,108.5,11.1,-12.5,6299,324,12627,6402,7858,9483,22199,9313.142857,7252,Comfortable
Z79015,Canyon,TX,21797,8.7,6.8,22.2,16.1,105.8,10.6,8.8,9098,9406,6411,15634,8611,9757,6277,9313.428571,7253,Comfortable
Z89007,Bunkerville,NV,1374,13.3,7.2,43.6,6.3,98,50,41.7,14973,10368,22368,4330,10977,1615,564,9313.571429,7254,Comfortable
Z99030,Rockford,WA,869,5.2,20.7,29.1,12.4,99.2,70.7,38.5,3925,23510,13769,11793,10580,961,657,9313.571429,7255,Comfortable
Z29928,Hilton Head Island,SC,17270,5.7,11.7,28.5,6.2,154.9,14.7,-1.1,4507,17808,13182,4205,1829,7665,16000,9313.714286,7256,Comfortable
Z04655,Machiasport,ME,1178,9.2,8.1,44.8,9,98.6,104.1,23.1,9722,12120,22648,7650,10759,503,1801,9314.714286,7257,Comfortable
Z46819,Fort Wayne,IN,9441,8.1,6.8,19.5,13.3,94.3,12.1,4.1,8137,9390,3731,12728,12335,8957,9926,9314.857143,7258,Comfortable
Z11360,Bayside,NY,19605,6.4,4.6,26.5,6.2,135.4,-5.8,-2.8,5498,4550,11082,4194,3337,19117,17430,9315.428571,7259,Comfortable
Z16317,Cooperstown,PA,1567,11.5,7.3,32.3,8,95.7,18.8,30.8,12843,10576,16449,6412,11801,6032,1097,9315.714286,7260,Comfortable
Z01474,West Townsend,MA,1934,5.6,11.1,15.4,1.7,140.5,-47.1,0,4316,17014,1234,355,2853,24212,15226,9315.714286,7261,Comfortable
Z54750,Maiden Rock,WI,975,8.6,5.6,20.5,10.3,107.4,13.3,-5.3,8910,6789,4621,9210,8137,8319,19225,9315.857143,7262,Comfortable
Z68359,Friend,NE,1721,8,15,23.6,5.6,110.1,6,11.9,8033,21071,7987,3514,7449,12533,4633,9317.142857,7263,Comfortable
Z08859,Parlin,NJ,21418,9,6.8,24.8,7.2,113.7,7.4,0.3,9445,9412,9267,5354,6635,11637,13472,9317.428571,7264,Comfortable
Z49686,Traverse City,MI,32661,6.1,7.1,25.4,12.3,107.4,16.2,0.5,5106,10035,9941,11645,8142,7036,13327,9318.857143,7265,Comfortable
Z64739,Creighton,MO,780,9.1,5.3,28.7,9,93.3,42.9,0,9671,6091,13314,7623,12684,2062,13789,9319.142857,7266,Comfortable
Z97026,Gervais,OR,4228,23.5,6,21.2,21.1,108.6,52.9,25,21842,7744,5369,19426,7848,1485,1521,9319.285714,7267,Comfortable
Z17304,Aspers,PA,3021,16.7,1.7,19.4,9.1,116.2,15.2,-11.4,17977,482,3588,7680,6132,7427,21949,9319.285714,7268,Comfortable
Z01026,Cummington,MA,1036,2.8,4,27.9,5.6,73.8,-43.1,35.3,1197,3312,12545,3530,19773,24092,791,9320,7269,Comfortable
Z76258,Pilot Point,TX,7015,20.1,8.3,25,10.3,110.9,40.7,12.8,20216,12580,9495,9243,7277,2225,4208,9320.571429,7270,Comfortable
Z07094,Secaucus,NJ,18170,12.9,7.1,22.1,7.5,119.4,5.2,4,14448,10140,6323,5714,5523,13061,10046,9322.142857,7271,Comfortable
