City,State,No_of_Zip_Codes,Sum_Population,Mean_No_Diploma,Mean_Vacancy,Mean_No_Job,Mean_Poverty,Mean_Med_Inc,Mean_Chg_Job,Mean_Chg_Biz,Mean_DCI_Percentile,Mean_White,Mean_Hispanic,Mean_Black,Mean_Asian,Mean_Mixed_Other,Sum_Area_Land,Sum_Area_Water
Eldorado,OH,1,940,11.6,6.9,18.9,12.4,106.9,17.5,-28.6,39.5,99,0,0,0,1,13.119,0.01
Eldorado,OK,1,588,12.9,19.2,36.3,25.3,80,12.5,12.5,72,77.9,12.5,3.1,0,6.5,177.338,0.159
Eldorado,TX,1,3224,23.8,13.1,26.2,19.5,104.4,23.6,5.9,55.9,50.8,48.1,0.1,0.3,0.7,1074.144,0.034
Eldorado,WI,1,1407,5.5,2.9,17.2,1.4,138.4,9.5,9.5,2.7,99,0,0,0,1,30.221,0.593
Eldred,NY,1,788,5.7,7.1,23.6,12.8,68.4,-10.1,-6.7,59.9,90.1,0.5,4.4,5,0,25.067,0.76
Eldred,PA,1,2796,13.1,4.5,25.9,14.4,84.8,-5.5,5.4,50.2,98.1,0,0.2,0.2,1.5,59.325,0.528
Eldridge,AL,1,1027,26.5,15.1,42.3,28.7,59.7,-61.9,28.6,93.2,96.3,2.2,1,0,0.5,51.621,0.076
Eldridge,IA,1,9899,5,2.9,16.1,4.8,119.5,0.6,8.3,7.1,96.4,0.8,0.6,1,1.2,41.273,0.042
Eldridge,MO,1,1030,28.4,10.8,14.9,20.8,137,-73.3,-33.3,75.5,0,8.7,0.4,0.9,90,68.736,0.211
Eleanor,WV,1,1873,5.1,11.3,25.3,6.7,122.6,33.1,-3.9,25.9,92.9,5.8,0,0.2,1.1,4.669,0.168
Electra,TX,1,3384,13.2,16.9,35.4,11.6,76.2,-14.4,-7.7,87.5,83.7,9.6,2.5,0.2,4,284.303,2.387
Electric City,WA,1,1205,6.4,8,32.1,2.4,102.2,0,0,37.8,84.7,6.7,0.7,0,7.9,43.528,41.063
Eleele,HI,1,2512,13.5,9.2,16,11.6,98.3,20.2,5.6,30.4,9.2,6.1,0,54.2,30.5,2.909,0.491
Elephant Butte,NM,1,1724,13.1,9.8,37.9,7.9,68.9,-14.5,-2.4,78.4,69.7,22.1,0,0,8.2,36.25,0.024
Eleva,WI,1,3084,7.3,3.6,19.2,5.1,113.1,-0.7,5.7,14.5,97.7,1.3,0,0.2,0.8,99.693,0.095
Elfrida,AZ,1,1046,16.1,27.3,42.9,5.6,86.1,67.3,-31.6,71.2,67.9,19.9,6.2,2.2,3.8,445.285,0.149
Elgin,AZ,1,1034,6.5,8,29.3,13.7,76.6,18.2,18.2,35.7,83.6,14.1,0,0,2.3,308.023,0.26
Elgin,IA,1,1614,12,5.7,19.8,14.3,88.2,9.2,21.6,29.2,99.7,0,0,0.2,0.1,83.731,0.029
Elgin,MN,1,2143,4.7,4.9,12.7,6.4,125.2,8,-2.1,12.8,98.4,0.4,0,0.6,0.6,50.85,0.017
Elgin,ND,1,923,15.8,15.1,17.5,21.3,68.6,2.3,4.8,68.6,94.8,0,0,3.2,2,316.241,1.532
